first_name,last_name,gender,full_name,email_address,language,university,title
Alan,Sims,Male,Alan Sims,a_sims917@ymail.com,North Ndebele,State University of New York (SUNY),Rev
Ian,Thomas,Male,Ian Thomas,i_thomas10@mail.com,Fijian,Instituto Politécnico de Leiria,Dr
Simon,Parker,Male,Simon Parker,s.parker98@yandex.com,Somali,Universidad de La Frontera,Dr
Luke,Bentley,Male,Luke Bentley,l.bentley420@mail.com,Walloon,Nova Scotia Agricultural College,Honorable
Samuel,Barnett,Male,Samuel Barnett,s_barnett187@ymail.com,Arabic,Samara State University of Economics,Dr
Jordan,Manning,Male,Jordan Manning,j.manning104@yandex.com,Belarusian,Universidade da Beira Interior,Honorable
Anthony,Collier,Male,Anthony Collier,a.collier277@outlook.com,Fijian,Huachiew Chalermprakiet University,Rev
Adam,Holloway,Male,Adam Holloway,a_holloway340@outlook.com,Interlingue,"COMSATS Institute of Information Technology, Wah",Rev
Lee,Hartley,Male,Lee Hartley,l.hartley835@ymail.com,Galician,Fine Arts Academy in Wroclaw,Rev
Alexander,George,Male,Alexander George,a.george319@ymail.com,Occitan,Chiang Mai Vocational College,Honorable
William,Tomlinson,Male,William Tomlinson,w.tomlinson772@ymail.com,Tagalog,Fachhochschule Neubrandenburg,Rev
Kevin,Howard,Male,Kevin Howard,k_howard660@gmail.com,Basque,Jinan University,Rev
Darren,Long,Male,Darren Long,d_long893@yahoo.com,Kirghiz,Universidad Finis Terrae,Mr
Benjamin,Farmer,Male,Benjamin Farmer,b_farmer863@yandex.com,Central Khmer,Instituto Superior de Ciências Educativas,Rev
Philip,Collins,Male,Philip Collins,p.collins966@yahoo.com,Romansh,Université d'Oran Es-Senia,Honorable
Gary,Rice,Male,Gary Rice,g.rice401@mail.com,Hiri Motu,Dalian University of Foreign Language,Rev
Joseph,Townsend,Male,Joseph Townsend,j_townsend201@outlook.com,Romanian,Humboldt State University,Mr
Brian,Rees,Male,Brian Rees,b.rees680@ymail.com,Afrikaans,"DeVry Institute of Technology, Columbus",Mr
Steven,Bruce,Male,Steven Bruce,s_bruce108@zoho.com,Fulah,Build Bright University,Honorable
Liam,Hammond,Male,Liam Hammond,l_hammond383@ymail.com,Welsh,Rajendra Agricultural University,Mr
Keith,Ford,Male,Keith Ford,k_ford807@rediffmail.com,Breton,Ibrahim Babangida University,Mr
Martin,Tucker,Male,Martin Tucker,m_tucker359@ymail.com,Tibetan,Sejong University,Mr
Jason,Wallis,Male,Jason Wallis,j.wallis641@zoho.com,Georgian,Institute of Public Administration,Dr
Jonathan,Hamilton,Male,Jonathan Hamilton,j_hamilton79@rediffmail.com,Pali,Grodno State Agrarian University,Dr
Jake,Ferguson,Male,Jake Ferguson,j_ferguson201@yahoo.com,Xhosa,Osmangazi University,Rev
Graham,Hooper,Male,Graham Hooper,g_hooper355@zoho.com,Thai,Osaka University of Economics,Mr
Nicholas,Francis,Male,Nicholas Francis,n.francis673@mail.com,Bislama,Sultan Idris Shah Polytechnic,Mr
Craig,Reeves,Male,Craig Reeves,c_reeves228@yahoo.com,Kazakh,Hanazono University,Dr
George,Barlow,Male,George Barlow,g.barlow167@rediffmail.com,Rundi,King Fahd Security College,Dr
Colin,Short,Male,Colin Short,c_short970@zoho.com,Bislama,Technological Education Institute of Kavala,Rev
Neil,Cunningham,Male,Neil Cunningham,n_cunningham355@ymail.com,Persian,Institute of Business and Politics,Honorable
Lewis,Hopkins,Male,Lewis Hopkins,l.hopkins933@rediffmail.com,Malagasy,High Institute for Banking & Financial Studies,Rev
Nigel,Nicholson,Male,Nigel Nicholson,n.nicholson908@zoho.com,Kikuyu,Moraine Valley Community College,Mr
Oliver,Archer,Male,Oliver Archer,o_archer840@ymail.com,Hindi,Dr. YS Parmar University of Horticulture and Forestry,Mr
Timothy,Green,Male,Timothy Green,t_green272@outlook.com,Uighur,University of Shiga Prefecture,Dr
Stuart,Glover,Male,Stuart Glover,s_glover500@ymail.com,Telugu,Texas Lutheran University,Rev
Kenneth,Gibson,Male,Kenneth Gibson,k_gibson238@gmail.com,Welsh,"Institute of Teachers Education, Dato' Razali Ismail ",Honorable
Raymond,Spencer,Male,Raymond Spencer,r.spencer284@zoho.com,Avestan,State University of New York Health Sience Centre Syracuse,Mr
Jamie,Warner,Male,Jamie Warner,j.warner98@mail.com,Lao,DePauw University,Rev
Nathan,Webb,Male,Nathan Webb,n_webb87@yandex.com,Ossetian,Odense University,Rev
Geoffrey,Whitehouse,Male,Geoffrey Whitehouse,g.whitehouse574@yahoo.com,Tsonga,United States Sports Academy,Honorable
Connor,Dean,Male,Connor Dean,c.dean988@zoho.com,Hiri Motu,KASB Institute of Technology,Dr
Terence,Griffiths,Male,Terence Griffiths,t.griffiths920@gmail.com,Pushto,Instituto Tecnológico de Aeronáutica,Mr
Trevor,Clark,Male,Trevor Clark,t.clark967@outlook.com,Venda,Okinawa Prefectural University of Fine Arts,Rev
Adrian,Hardy,Male,Adrian Hardy,a_hardy429@mail.com,Abkhazian,Brevard College,Mr
Harry,Iqbal,Male,Harry Iqbal,h_iqbal342@ymail.com,Bislama,"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",Dr
Malcolm,Baldwin,Male,Malcolm Baldwin,m.baldwin562@outlook.com,Finnish,Tokyo University of Mercantile Marine,Mr
Scott,ONeill,Male,Scott ONeill,s_oneill773@gmail.com,Italian,Baqai Medical University,Mr
Callum,Blake,Male,Callum Blake,c_blake514@yahoo.com,Bosnian,European Business School,Dr
Wayne,Lees,Male,Wayne Lees,w_lees473@yahoo.com,Italian,Holy Spirit University of Kaslik,Honorable
Aaron,Harvey,Male,Aaron Harvey,a_harvey750@ymail.com,Basque,University of Palestine,Mr
Barry,Clarke,Male,Barry Clarke,b_clarke555@zoho.com,Ukrainian,Technological Education Institute of Kavala,Rev
Ashley,Daniels,Male,Ashley Daniels,a.daniels361@rediffmail.com,Fulah,California Polytechnic State University - San Luis Obispo,Dr
Bradley,Browne,Male,Bradley Browne,b.browne428@zoho.com,Central Khmer,Universidad del Bajío,Rev
Patrick,Macdonald,Male,Patrick Macdonald,p_macdonald696@mail.com,English,Universidade Camilo Castelo Branco,Honorable
Gareth,Kirk,Male,Gareth Kirk,g.kirk283@outlook.com,Northern Sami,American International University West Africa,Rev
Jacob,Khan,Male,Jacob Khan,j_khan260@mail.com,Persian,Ecole Européen des Affaires,Rev
Sean,Davidson,Male,Sean Davidson,s_davidson400@ymail.com,Pali,Petru Maior University of Targu Mures,Rev
Kieran,Dale,Male,Kieran Dale,k_dale658@ymail.com,Occitan,Arhangelsk State Technical University,Dr
Derek,Sanders,Male,Derek Sanders,d.sanders34@gmail.com,Pali,Centennial College,Mr
Carl,Wilkins,Male,Carl Wilkins,c_wilkins613@rediffmail.com,Yiddish,Southern Cross University,Dr
Dean,Connor,Male,Dean Connor,d_connor88@mail.com,Persian,Walsh College of Accountancy and Business Administration,Honorable
Charles,Daly,Male,Charles Daly,c.daly46@zoho.com,Rundi,Herzen State Pedagogical University of Russia,Mr
Sam,Lane,Male,Sam Lane,s.lane528@gmail.com,Latvian,Omdurman Islamic University,Rev
Shaun,Kennedy,Male,Shaun Kennedy,s_kennedy670@ymail.com,Tahitian,"Goldsmiths College, University of London",Honorable
Ben,Bray,Male,Ben Bray,b.bray145@rediffmail.com,Tahitian,Military academy of Lithuania,Rev
Roger,Burrows,Male,Roger Burrows,r.burrows407@yandex.com,Zhuang,St. Vincent College,Honorable
Mohammed,Hayes,Male,Mohammed Hayes,m.hayes655@ymail.com,North Ndebele,Deylaman Institute of Higher Education,Mr
Leslie,Wyatt,Male,Leslie Wyatt,l_wyatt764@outlook.com,Twi,Universitas Nasional Jakarta,Honorable
Ronald,Gould,Male,Ronald Gould,r.gould332@outlook.com,Venda,University of Jyväskylä,Dr
Kyle,Dyer,Male,Kyle Dyer,k_dyer95@yandex.com,Japanese,Chengdu University of Traditional Chinese Medicine,Rev
Clive,Nash,Male,Clive Nash,c_nash12@gmail.com,Pali,Karunya Institute Of Technology ( Deemed University),Dr
Edward,Bryan,Male,Edward Bryan,e.bryan544@zoho.com,Twi,Howard University,Dr
Antony,Pope,Male,Antony Pope,a_pope169@gmail.com,Komi,Westhill University,Rev
Jeremy,Fraser,Male,Jeremy Fraser,j.fraser319@gmail.com,Chechen,St.Kliment Ohridski University,Dr
Justin,Steele,Male,Justin Steele,j_steele418@gmail.com,Kinyarwanda,Asia E University,Rev
Jeffrey,Walsh,Male,Jeffrey Walsh,j.walsh479@zoho.com,Avestan,Bauder College,Mr
Christian,Wade,Male,Christian Wade,c.wade655@yahoo.com,Swahili,University of Economics Varna,Dr
Roy,Marsden,Male,Roy Marsden,r.marsden661@ymail.com,Slovak,Montana Tech,Dr
Karl,Humphries,Male,Karl Humphries,k.humphries139@ymail.com,Nauru,Sripatum University,Rev
Alex,OBrien,Male,Alex OBrien,a_obrien47@yandex.com,Breton,Ecole Nationale Supérieure des Industries Textiles de Mulhouse,Honorable
Gordon,Thompson,Male,Gordon Thompson,g_thompson545@outlook.com,Oriya,Kwantleen University College,Rev
Dominic,Lord,Male,Dominic Lord,d.lord952@yahoo.com,Church Slavic,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux,Rev
Joe,Coleman,Male,Joe Coleman,j_coleman32@gmail.com,Tahitian,University of National and World Economy,Mr
Marc,Jarvis,Male,Marc Jarvis,m_jarvis313@zoho.com,Tonga,Lincoln University San Francisco,Dr
Reece,Noble,Male,Reece Noble,r.noble210@gmail.com,Croatian,Technische Fachhochschule Wildau,Rev
Dennis,Williamson,Male,Dennis Williamson,d_williamson157@yahoo.com,Kashmiri,Westhill University,Dr
Russell,Carpenter,Male,Russell Carpenter,r.carpenter308@yahoo.com,Sanskrit,Université de Limoges,Dr
Gavin,Gardner,Male,Gavin Gardner,g.gardner109@ymail.com,Venda,Johnson Bible College,Dr
Rhys,Farrell,Male,Rhys Farrell,r_farrell543@zoho.com,Telugu,"Indian Institute of Technology, Roorkee",Honorable
Phillip,Clayton,Male,Phillip Clayton,p.clayton576@yahoo.com,Greek,Université de Kamina,Rev
Allan,Akhtar,Male,Allan Akhtar,a_akhtar678@yandex.com,Hiri Motu,Seneca College,Honorable
Robin,Gallagher,Male,Robin Gallagher,r_gallagher965@mail.com,North Ndebele,Alhamd Islamic University,Dr
Charlie,Skinner,Male,Charlie Skinner,c_skinner849@gmail.com,Tibetan,Johns Hopkins University,Mr
Gerald,Birch,Male,Gerald Birch,g.birch797@yandex.com,Sindhi,SRM Institute Of Science & Technology ( Deemed University),Honorable
Ross,Kay,Male,Ross Kay,r_kay521@yahoo.com,Bosnian,Mount St. Mary College,Dr
Francis,Barrett,Male,Francis Barrett,f_barrett312@zoho.com,Divehi,Université Hassan II - Aïn Chock,Dr
Eric,Bates,Male,Eric Bates,e_bates95@outlook.com,Portuguese,Ohio Valley College,Honorable
Julian,Lucas,Male,Julian Lucas,j.lucas155@mail.com,Finnish,"California State University, Bakersfield",Honorable
Bernard,OConnor,Male,Bernard OConnor,b_oconnor771@yahoo.com,Haitian,Gretsa Universtiy,Rev
Dale,Chamberlain,Male,Dale Chamberlain,d.chamberlain347@outlook.com,Maltese,Jerusalem University College,Honorable
Donald,Chapman,Male,Donald Chapman,d_chapman758@gmail.com,Divehi,Govind Ballabh Pant University of Agriculture and Technology,Dr
Damian,Ryan,Male,Damian Ryan,d.ryan277@rediffmail.com,Swahili,University of Texas,Rev
Frank,Thorpe,Male,Frank Thorpe,f.thorpe139@yandex.com,Ossetian,Universität Stuttgart,Rev
Shane,Lawson,Male,Shane Lawson,s.lawson486@ymail.com,German,St Theresa's Medical University,Rev
Cameron,Howell,Male,Cameron Howell,c_howell485@outlook.com,Slovak,"Fachhochschule Furtwangen, Hochschule für Technik und Wirtschaft",Dr
Norman,Martin,Male,Norman Martin,n.martin57@ymail.com,Sardinian,Deutsche Hochschule für Verwaltungswissenschaften Speyer,Honorable
Duncan,Kelly,Male,Duncan Kelly,d.kelly107@mail.com,Marathi,Pomeranian Academy of Medicine in Szczecin,Dr
Louis,Dobson,Male,Louis Dobson,l.dobson759@ymail.com,Telugu,Universidad de La Salle,Mr
Frederick,Stevens,Male,Frederick Stevens,f_stevens321@zoho.com,Oriya,Kaya University,Mr
Tony,Brennan,Male,Tony Brennan,t_brennan90@yandex.com,Armenian,Universität Mannheim,Honorable
Howard,Lloyd,Male,Howard Lloyd,h.lloyd929@outlook.com,Oromo,Macquarie University,Rev
Conor,Quinn,Male,Conor Quinn,c_quinn691@mail.com,Malay,"Islamic Azad University, Majlesi",Honorable
Douglas,Morton,Male,Douglas Morton,d_morton32@ymail.com,Malayalam,Hormozgan University of Medical Sciences,Dr
Garry,Wilson,Male,Garry Wilson,g.wilson475@outlook.com,German,Ecole Superieur d'Ingenieurs Leonard de Vinci,Honorable
Elliot,Barnes,Male,Elliot Barnes,e.barnes563@yandex.com,Marshallese,Government College University Lahore,Dr
Marcus,Henry,Male,Marcus Henry,m_henry50@mail.com,Finnish,Syrian Virtual University,Mr
Arthur,Smith,Male,Arthur Smith,a_smith52@yahoo.com,Divehi,European Management School,Honorable
Vincent,Pritchard,Male,Vincent Pritchard,v.pritchard865@outlook.com,Romanian,RCSI-Medical University of Bahrain,Rev
Max,Phillips,Male,Max Phillips,m_phillips845@yahoo.com,Limburgan,University of Medicine and Pharmacy of Cluj-Napoca,Honorable
Mathew,Dixon,Male,Mathew Dixon,m.dixon448@ymail.com,"Sotho, Southern",Stavropol State Technical University,Honorable
Abdul,Sharpe,Male,Abdul Sharpe,a.sharpe490@gmail.com,Hausa,Morehouse School of Medicine,Honorable
Henry,Robertson,Male,Henry Robertson,h_robertson797@outlook.com,Zulu,The Southern Christian University,Dr
Martyn,White,Male,Martyn White,m_white639@zoho.com,Kongo,National University of Rwanda,Honorable
Ricky,Bird,Male,Ricky Bird,r_bird620@yandex.com,Tamil,Missouri Western State College,Dr
Leonard,Abbott,Male,Leonard Abbott,l_abbott47@mail.com,Luxembourgish,"Islamic Azad University, Janah",Mr
Lawrence,Kirby,Male,Lawrence Kirby,l_kirby457@yahoo.com,Lithuanian,Baltimore International College,Mr
Glen,Hussain,Male,Glen Hussain,g.hussain617@yandex.com,Japanese,Berean University of the Assemblies of God,Honorable
Mitchell,Barber,Male,Mitchell Barber,m_barber504@rediffmail.com,Portuguese,Seoul Teological University,Dr
Gerard,Harris,Male,Gerard Harris,g_harris378@yahoo.com,Norwegian Nynorsk,Islamic University College,Rev
Gregory,Doyle,Male,Gregory Doyle,g_doyle793@rediffmail.com,Spanish,Shandong University of Science and Technology,Honorable
Iain,Jordan,Male,Iain Jordan,i_jordan184@outlook.com,Oromo,Maharaja Sayajirao University of Baroda,Rev
Billy,Burns,Male,Billy Burns,b.burns248@yandex.com,Sichuan Yi,IBAIS University,Mr
Bryan,Hodgson,Male,Bryan Hodgson,b.hodgson93@yahoo.com,Tibetan,Cumhuriyet (Republik) University,Honorable
Joel,Atkins,Male,Joel Atkins,j_atkins650@mail.com,German,China University of Political Science and Law,Rev
Clifford,Stokes,Male,Clifford Stokes,c_stokes573@ymail.com,Shona,University of Sussex,Mr
Josh,Rogers,Male,Josh Rogers,j.rogers267@zoho.com,Tigrinya,"London School of Economics and Political Science, University of London",Rev
Leon,Parkes,Male,Leon Parkes,l_parkes980@gmail.com,Sichuan Yi,Cleary College,Dr
Stewart,Brookes,Male,Stewart Brookes,s.brookes346@gmail.com,Chamorro,Urumqi Vocational University,Honorable
Mohammad,Herbert,Male,Mohammad Herbert,m.herbert145@yandex.com,Tagalog,Kangnam University,Honorable
Dylan,Gordon,Male,Dylan Gordon,d_gordon824@rediffmail.com,Uighur,Tokushima Bunri University,Rev
Graeme,Kemp,Male,Graeme Kemp,g.kemp885@gmail.com,Breton,Université de Picardie Jules-Verne,Mr
Terry,Webster,Male,Terry Webster,t.webster638@yandex.com,Chamorro,Rajendra Agricultural University,Dr
Guy,Sinclair,Male,Guy Sinclair,g_sinclair139@mail.com,Bislama,University of Veterinary Medicine in Kosice,Honorable
Elliott,McLean,Male,Elliott McLean,e.mclean400@outlook.com,Aragonese,Laikipia University,Rev
Stanley,Saunders,Male,Stanley Saunders,s_saunders334@zoho.com,Spanish,Universidad Nacional Mayor de San Marcos,Honorable
Danny,Stephens,Male,Danny Stephens,d.stephens670@zoho.com,Bislama,Ecole pour les Etudes et la Recherche en Informatique et Electronique,Rev
Brandon,Newton,Male,Brandon Newton,b_newton551@gmail.com,Ojibwa,Universidade Jean Piaget de Cabo Verde,Mr
Victor,Potter,Male,Victor Potter,v_potter832@ymail.com,Komi,British Royal University,Rev
Toby,Storey,Male,Toby Storey,t_storey511@mail.com,Lingala,Bashkir State University,Rev
Hugh,Stanley,Male,Hugh Stanley,h.stanley354@zoho.com,Walloon,"Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse",Mr
Mohamed,Turnbull,Male,Mohamed Turnbull,m.turnbull497@gmail.com,Gaelic,St. Petersburg Institute of Sales Management and Economics,Dr
Brett,Duncan,Male,Brett Duncan,b_duncan882@ymail.com,Portuguese,University of Science and Culture,Rev
Albert,Rose,Male,Albert Rose,a.rose357@ymail.com,Catalan,Gebze Institute of Technology,Dr
Tom,Mills,Male,Tom Mills,t.mills501@yahoo.com,Galician,Universitas Muhammadiyah Jember,Honorable
Declan,Sheppard,Male,Declan Sheppard,d.sheppard847@ymail.com,Marathi,Music Academy in Cracow,Rev
Maurice,Butcher,Male,Maurice Butcher,m_butcher266@ymail.com,Russian,Escuela Politécnica Nacional,Honorable
Glenn,Fry,Male,Glenn Fry,g.fry127@zoho.com,Sinhala,College of St. Mary,Dr
Leigh,Ross,Male,Leigh Ross,l_ross924@gmail.com,German,Al Imam Al-Ouzai University,Honorable
Denis,Shepherd,Male,Denis Shepherd,d_shepherd606@outlook.com,Kinyarwanda,Universidad de Ciencias Empresariales y Sociales,Honorable
Damien,Goodwin,Male,Damien Goodwin,d_goodwin24@rediffmail.com,Avaric,Chengdu University,Dr
Bruce,Holt,Male,Bruce Holt,b.holt360@ymail.com,Akan,"Arkansas State University, Newport",Rev
Jay,Haynes,Male,Jay Haynes,j.haynes983@ymail.com,Hiri Motu,University of Kerala,Rev
Owen,Cook,Male,Owen Cook,o_cook854@gmail.com,Panjabi,American-European School of Management ,Rev
Savage,Ward,Female,Savage Ward,s.ward585@gmail.com,Central Khmer,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,Dr
Winter, Godfrey,Female,Winter  Godfrey,w_godfrey616@yahoo.com,Xhosa,American University of Kuwait ,Ms
Metcalfe, Stone,Female,Metcalfe  Stone,m.stone462@outlook.com,Japanese,"Fine Arts Academy ""Jan Matejko"" in Cracow",Ms
Harper, Dodd,Female,Harper  Dodd,h.dodd534@gmail.com,Swati,Modern Sciences & Arts University,Honorable
Burgess, Parsons,Female,Burgess  Parsons,b.parsons556@yandex.com,Interlingua,Ho Chi Minh City University of Architecture,Honorable
Bailey, Ingram,Female,Bailey  Ingram,b_ingram582@mail.com,Akan,University of Durham,Ms
Potts, Nixon,Female,Potts  Nixon,p.nixon590@zoho.com,Turkish,Jilin Agricultural University,Mrs
Boyle, Evans,Female,Boyle  Evans,b_evans849@gmail.com,Kurdish,Université Paris Nord (Paris XIII),Dr
Brown, Hargreaves,Female,Brown  Hargreaves,b.hargreaves276@mail.com,Luxembourgish,Universidad Autónoma de la Ciudad de México,Mrs
Jennings, Owen,Female,Jennings  Owen,j.owen921@outlook.com,Swahili,Masinde Muliro University of Science and Technology,Dr
Payne, Chan,Female,Payne  Chan,p.chan168@zoho.com,Marathi,Stamford International University,Honorable
Day, Connolly,Female,Day  Connolly,d_connolly237@yahoo.com,Chechen,University of Central Florida,Dr
Holland, Charlton,Female,Holland  Charlton,h.charlton672@outlook.com,Hungarian,Universidad Salesiana de Bolivia,Dr
Higgins, Middleton,Female,Higgins  Middleton,h.middleton368@mail.com,Norwegian,Quaid-i-Azam University,Honorable
Rhodes, Hyde,Female,Rhodes  Hyde,r_hyde649@rediffmail.com,Latvian,"City University of New York, Graduate School and University Center",Dr
Hancock, Patel,Female,Hancock  Patel,h_patel344@ymail.com,Gaelic,Universidad Autónoma de Entre Ríos,Dr
Howells, Owens,Female,Howells  Owens,h_owens552@mail.com,Zulu,Voronezh State Agricultural University,Mrs
Fowler, Lamb,Female,Fowler  Lamb,f_lamb474@zoho.com,Church Slavic,Southern Connecticut State University,Ms
Sims, Palmer,Female,Sims  Palmer,s_palmer861@ymail.com,Bashkir,Tokyo Women's College of Physical Education,Dr
Thomas, Cooper,Female,Thomas  Cooper,t.cooper15@gmail.com,Abkhazian,The American College,Mrs
Parker, McCarthy,Female,Parker  McCarthy,p_mccarthy121@zoho.com,Lithuanian,Sang Ji University,Ms
Bentley, Black,Female,Bentley  Black,b.black282@rediffmail.com,English,Old Dominion University,Honorable
Barnett, Dickinson,Female,Barnett  Dickinson,b.dickinson436@yandex.com,Inupiaq,Changchun Teachers College,Honorable
Manning, Gilbert,Female,Manning  Gilbert,m_gilbert908@outlook.com,North Ndebele,Free University Stockholm,Dr
Collier, Leach,Female,Collier  Leach,c.leach909@rediffmail.com,Ossetian,St. Louis College of Pharmacy,Mrs
Holloway, North,Female,Holloway  North,h_north249@zoho.com,Ewe,University of Newcastle-upon-Tyne,Mrs
Hartley, Byrne,Female,Hartley  Byrne,h.byrne683@gmail.com,Bambara,Wesleyan University Philippines,Dr
George, Frost,Female,George  Frost,g.frost54@gmail.com,Fulah,Dnepropetrovsk National University of Railway Transport,Dr
Tomlinson, Simmons,Female,Tomlinson  Simmons,t_simmons130@zoho.com,Bislama,Afe Babalola University,Ms
Howard, Matthews,Female,Howard  Matthews,h_matthews878@yahoo.com,Urdu,Osaka University of Pharmaceutical Sciences,Mrs
Long, Alexander,Female,Long  Alexander,l.alexander871@yandex.com,Ewe,Jubail Industrial College,Ms
Farmer, Ahmed,Female,Farmer  Ahmed,f_ahmed33@yahoo.com,Amharic,Tokyo Metropolitan University,Honorable
Collins, Gibbons,Female,Collins  Gibbons,c_gibbons757@ymail.com,Tajik,Danville Area Community College,Honorable
Rice, Stevenson,Female,Rice  Stevenson,r_stevenson886@outlook.com,Tahitian,Tishreen University,Mrs
Townsend, Rowley,Female,Townsend  Rowley,t.rowley969@mail.com,Maori,Radboud University of Nijmegen,Mrs
Rees, Miles,Female,Rees  Miles,r_miles798@rediffmail.com,Church Slavic,Kyoto Prefectural University of Medicine,Honorable
Bruce, Hanson,Female,Bruce  Hanson,b.hanson292@yahoo.com,Bosnian,Kisii University,Honorable
Hammond, Bolton,Female,Hammond  Bolton,h_bolton804@zoho.com,Aragonese,Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,Ms
Ford, Craig,Female,Ford  Craig,f_craig692@gmail.com,Quechua,Eastern College,Ms
Tucker, Ali,Female,Tucker  Ali,t_ali432@yandex.com,Icelandic,Universidad Católica Andres Bello,Honorable
Wallis, Carroll,Female,Wallis  Carroll,w_carroll578@ymail.com,South Ndebele,Bucknell University,Ms
Hamilton, Allan,Female,Hamilton  Allan,h_allan251@outlook.com,Northern Sami,Detroit College of Law,Dr
Ferguson, Sanderson,Female,Ferguson  Sanderson,f.sanderson755@outlook.com,Bashkir,Université Michel de Montaigne (Bordeaux III ),Ms
Hooper, Fletcher,Female,Hooper  Fletcher,h_fletcher161@zoho.com,Ido,University of Pangasinan,Ms
Francis, Burton,Female,Francis  Burton,f_burton612@rediffmail.com,Kalaallisut,Hanoi Medical University,Mrs
Reeves, Oliver,Female,Reeves  Oliver,r.oliver515@ymail.com,Zulu,Tusculum College,Ms
Barlow, Davison,Female,Barlow  Davison,b.davison230@yandex.com,Nauru,Lakehead University,Honorable
Short, Douglas,Female,Short  Douglas,s_douglas653@gmail.com,Dutch,"Indian Institute of Technology, Delhi",Ms
Cunningham, Field,Female,Cunningham  Field,c_field108@zoho.com,Esperanto,University of Management & Technology,Mrs
Hopkins, Pickering,Female,Hopkins  Pickering,h_pickering97@gmail.com,Dutch,University of Belgrade,Mrs
Nicholson, Pugh,Female,Nicholson  Pugh,n_pugh242@yahoo.com,Maltese,University of Teramo,Ms
Archer, Rowe,Female,Archer  Rowe,a.rowe118@rediffmail.com,Marathi,Luxun Academy of Fine Art,Honorable
Green, Mahmood,Female,Green  Mahmood,g_mahmood669@zoho.com,Arabic,Aimst University,Ms
Glover, Sykes,Female,Glover  Sykes,g.sykes99@outlook.com,Oromo,Takachiho University,Ms
Gibson, Crawford,Female,Gibson  Crawford,g.crawford809@outlook.com,Ossetian,Pamukkale University,Ms
Spencer, Williams,Female,Spencer  Williams,s.williams621@outlook.com,Inupiaq,Sterlitamak State Pedagogical Institute,Dr
Warner, Parkin,Female,Warner  Parkin,w_parkin175@yahoo.com,Belarusian,Unity  University,Honorable
Webb, Patterson,Female,Webb  Patterson,w_patterson396@rediffmail.com,Venda,Central Baptist College,Dr
Whitehouse, Power,Female,Whitehouse  Power,w.power584@gmail.com,Afrikaans,San Diego University for Integrative Studies,Mrs
Dean, Price,Female,Dean  Price,d_price105@yahoo.com,Yiddish,Xinjiang University of Finance and Economics,Mrs
Griffiths, Murphy,Female,Griffiths  Murphy,g_murphy586@mail.com,Hebrew,Universitas Indonesia,Ms
Clark, Hale,Female,Clark  Hale,c_hale582@yahoo.com,Bashkir,Bundelkhand University,Mrs
Hardy, Nicholls,Female,Hardy  Nicholls,h_nicholls641@yandex.com,Russian,Beppu University,Dr
Iqbal, Hall,Female,Iqbal  Hall,i.hall805@zoho.com,Albanian,British University in Dubai,Ms
Baldwin, Jones,Female,Baldwin  Jones,b.jones90@outlook.com,Swahili,"Fourah Bay College, University of Sierra Leone",Honorable
